uuid:005b2cc7-0d59-443b-94d1-80f14bd3dd08,2021-08-13T17:19:54.732+03:00,2021-08-13T17:31:01.108+03:00,Private individual,1,1,no,,Morogoro,Morogoro_District_council,"[37.8592296, -7.2098494, 126.9641368869259]",Maize,hammer,yes,diesel
uuid:006e0e21-1023-41be-97f8-1ce3550d335f,2021-08-13T10:30:39.846+03:00,2021-08-13T10:39:11.281+03:00,Private individual,1,1,no,,Morogoro,Mvomero_District_council,"[37.7089393, -6.0644982, 393.21744073880893]",rice,pin,yes,diesel
uuid:00b8b5f2-2a82-40dc-b7e9-faee5cdeb640,2021-08-13T14:56:07.065+03:00,2021-08-13T16:22:28.073+03:00,Private individual,1,1,no,,Morogoro,Morogoro_Municipal_council,"[37.6938421, -6.7642704, 447.93076429479436]",Maize,hammer,yes,Electricity
uuid:00d6150c-7730-44b3-b6b0-64d6973165ae,2021-08-15T13:15:30.724+03:00,2021-08-16T07:44:19.197+03:00,Private individual,1,1,no,,Morogoro,Morogoro_District_council,"[38.1323575, -6.7649706, 178.72803115727427]",Maize,hammer,yes,Electricity
uuid:00e84cc7-983c-491f-9e11-01cce7099ed7,2021-08-15T12:15:58.383+03:00,2021-08-15T12:20:08.668+03:00,Private individual,1,1,no,,Morogoro,Morogoro_District_council,"[37.8104335, -6.9309548, 295.65367482497527]",Maize,hammer,yes,diesel
uuid:00f425e2-88b1-43d9-8585-420bf929503f,2021-08-12T16:41:17.577+03:00,2021-08-12T17:00:28.956+03:00,Private individual,2,2,no,,Morogoro,Gairo_District_council,"[36.8997812, -6.1364135, 1314.3708797702077]",Maize cassava,hammer,yes,Electricity
uuid:00f425e2-88b1-43d9-8585-420bf929503f,2021-08-12T16:41:17.577+03:00,2021-08-12T17:00:28.956+03:00,Private individual,2,2,no,,Morogoro,Gairo_District_council,"[36.8997812, -6.1364135, 1314.3708797702077]",Maize,disk,yes,Electricity
uuid:00f76928-e2ef-46d9-9233-b5b0fcce6304,2021-08-15T13:54:26.660+03:00,2021-08-15T13:59:22.352+03:00,Private individual,1,1,no,,Morogoro,Morogoro_District_council,"[37.7404869, -7.4004524, 116.55520035771158]",Maize,hammer,yes,diesel
uuid:0127c27d-85be-4dfe-9645-c51c7fc8b142,2021-08-13T14:45:32.177+03:00,2021-08-15T07:52:01.333+03:00,Private individual,2,2,no,,Morogoro,Gairo_District_council,"[36.8424089, -6.1889953, 1299.914208741398]",Maize cassava sorghum,hammer,yes,Electricity
uuid:0127c27d-85be-4dfe-9645-c51c7fc8b142,2021-08-13T14:45:32.177+03:00,2021-08-15T07:52:01.333+03:00,Private individual,2,2,no,,Morogoro,Gairo_District_council,"[36.8424089, -6.1889953, 1299.914208741398]",Maize,disk,yes,generator grid_LUKU,L,U,K,U
uuid:014693b5-6eaf-42e0-907a-503df8e54ed2,2021-08-14T11:39:33.482+03:00,2021-08-14T14:01:46.172+03:00,Private individual,1,1,yes,East Africa Standard,Morogoro,Morogoro_Municipal_council,"[37.754079, -6.7744994, 469.11267954101726]",Maize,hammer,yes,Electricity
uuid:01a64348-68d2-40e1-8cee-812068ee91e0,2021-08-14T14:35:34.361+03:00,2021-08-14T14:48:34.538+03:00,Private individual,3,3,no,,Morogoro,Kilombero_District_council,"[36.5062004, -8.1421854, -123.32413754456495]",Maize,hammer,yes,diesel
uuid:01a64348-68d2-40e1-8cee-812068ee91e0,2021-08-14T14:35:34.361+03:00,2021-08-14T14:48:34.538+03:00,Private individual,3,3,no,,Morogoro,Kilombero_District_council,"[36.5062004, -8.1421854, -123.32413754456495]",Maize,hammer,yes,diesel
uuid:01a64348-68d2-40e1-8cee-812068ee91e0,2021-08-14T14:35:34.361+03:00,2021-08-14T14:48:34.538+03:00,Private individual,3,3,no,,Morogoro,Kilombero_District_council,"[36.5062004, -8.1421854, -123.32413754456495]",rice,rolling,yes,diesel
uuid:01c3c995-83ab-4743-8af6-65be33773904,2021-08-13T15:27:08.761+03:00,2021-08-15T08:21:36.361+03:00,Private individual,1,1,no,,Morogoro,Kilosa_District_council,"[36.7961118, -7.1951302, 651.7954456722723]",Maize,hammer,no,Electricity
uuid:020aecc0-7a17-4eaf-b1f7-3a915ec10f9f,2021-08-12T13:17:09.727+03:00,2021-08-13T08:08:21.706+03:00,Private individual,2,2,no,,Morogoro,Gairo_District_council,"[37.0259292, -6.0395535, 1075.7061374530954]",Maize sorghum,hammer,yes,diesel
uuid:020aecc0-7a17-4eaf-b1f7-3a915ec10f9f,2021-08-12T13:17:09.727+03:00,2021-08-13T08:08:21.706+03:00,Private individual,2,2,no,,Morogoro,Gairo_District_council,"[37.0259292, -6.0395535, 1075.7061374530954]",Maize,hammer,yes,diesel
uuid:0269db2a-779b-414c-95ae-1256e01c2e25,2021-08-14T12:00:32.503+03:00,2021-08-14T12:08:06.937+03:00,Private individual,1,1,no,,Morogoro,Ulanga_District_council,"[36.6667013, -8.3871928, 289.5970381193056]",rice,rolling,yes,Electricity
uuid:029c6a84-781a-4d2f-af7e-2be1c946addc,2021-08-12T10:09:53.491+03:00,2021-08-12T10:38:58.362+03:00,Private individual,2,2,no,,Morogoro,Kilosa_District_council,"[37.0507822, -6.8324882, 464.5192735037211]",Maize rice,hammer,yes,Electricity
uuid:029c6a84-781a-4d2f-af7e-2be1c946addc,2021-08-12T10:09:53.491+03:00,2021-08-12T10:38:58.362+03:00,Private individual,2,2,no,,Morogoro,Kilosa_District_council,"[37.0507822, -6.8324882, 464.5192735037211]",rice,rolling,no,Electricity
uuid:02ba58e6-f8a4-4688-bcd4-e14f1d9c92d3,2021-08-13T14:31:17.091+03:00,2021-08-13T14:41:15.301+03:00,Private individual,1,1,no,,Morogoro,Morogoro_District_council,"[37.774757, -7.0875688, 335.64425514120717]",Maize,hammer,no,diesel
uuid:02bc236f-6de8-4186-8ec1-1021444752f9,2021-08-15T11:29:12.609+03:00,2021-08-15T11:33:16.003+03:00,Private individual,1,1,no,,Morogoro,Morogoro_District_council,"[37.7581534, -6.9126515, 448.02019668157624]",Maize,hammer,yes,Electricity
